year month day id wd wsd tmp
2004 12 09 89512 80 14 2.2
2004 12 09 89512 90 16 1
2004 12 10 89512 130 18 .3
2004 12 10 89512 120 24 2.4
2004 12 10 89512 90 22 2
2004 12 10 89512 100 20 .5
2004 12 11 89512 110 20 -.1
2004 12 11 89512 110 18 -.4
2004 12 11 89512 100 24 .9
2004 12 11 89512 100 16 .2
2004 12 12 89512 100 12 -.7
2004 12 12 89512 120 20 -1.6
2004 12 12 89512 100 18 -.6
2004 12 12 89512 20 4 -1
2004 12 13 89512 140 14 -1.6
2004 12 13 89512 150 20 -1.1
2004 12 13 89512 20 6 -1.5
2004 12 13 89512 350 2 -.7
2004 12 14 89512 130 12 -1.7
2004 12 14 89512 130 20 -.2
2004 12 14 89512 110 10 1.9
2004 12 14 89512 110 14 1.6
2004 12 15 89512 140 22 -1.3
2004 12 15 89512 120 18 .5
2004 12 15 89512 120 8 2.6
2004 12 15 89512 120 24 1.7
2004 12 16 89512 130 30 .9
2004 12 16 89512 120 30 .7
2004 12 16 89512 120 46 .9
2004 12 16 89512 110 34 -1.2
2004 12 17 89512 120 26 -1.2
2004 12 17 89512 130 40 -.3
2004 12 17 89512 120 32 2
2004 12 17 89512 120 28 3.6
2004 12 18 89512 130 36 1.9
2004 12 18 89512 130 30 1.6
2004 12 18 89512 120 36 3
2004 12 18 89512 120 26 2.8
2004 12 19 89512 130 26 1.6
2004 12 19 89512 130 30 1.4
2004 12 19 89512 120 20 1.3
2004 12 19 89512 110 12 2.2
2004 12 20 89512 130 22 1
2004 12 20 89512 120 16 1.3
2004 12 20 89512 100 20 3.1
2004 12 20 89512 90 10 1.7
2004 12 21 89512 90 8 .1
2004 12 21 89512 100 6 1
2004 12 21 89512 30 4 2.4
2004 12 21 89512 50 4 .6
2004 12 22 89512 100 2 -2.4
2004 12 22 89512 30 2 .1
2004 12 22 89512 30 6 .7
2004 12 22 89512 110 4 1.5
2004 12 23 89512 40 2 -.2
2004 12 23 89512 120 10 .8
2004 12 23 89512 60 6 2.4
2004 12 23 89512 60 4 1.9
2004 12 24 89512 80 2 -.9
2004 12 24 89512 120 6 -4
2004 12 24 89512 80 4 .2
2004 12 24 89512 110 8 .4
2004 12 25 89512 270 2 -1.9
2004 12 25 89512 60 4 -1.9
2004 12 25 89512 90 8 2.2
2004 12 25 89512 40 6 0
2004 12 26 89512 130 8 -1.1
2004 12 26 89512 100 8 1.6
2004 12 26 89512 10 6 .6
2004 12 26 89512 90 2 1.4
2004 12 27 89512 30 4 -2.8
2004 12 27 89512 120 6 4.2
2004 12 27 89512 130 10 4.9
2004 12 27 89512 200 12 4.7
2004 12 28 89512 150 18 2.9
2004 12 28 89512 130 28 2.8
2004 12 28 89512 110 20 2.3
2004 12 28 89512 130 14 3.9
2004 12 29 89512 140 14 1.4
2004 12 29 89512 120 8 3.5
2004 12 29 89512 110 6 5.5
2004 12 29 89512 130 12 4.2
2004 12 30 89512 140 20 2.5
2004 12 30 89512 130 18 1.9
2004 12 30 89512 120 20 3.3
2004 12 30 89512 130 12 2.8
2004 12 31 89512 150 22 1.8
2004 12 31 89512 130 20 1.5
2004 12 31 89512 130 16 3.6
2004 12 31 89512 120 18 2.7
2005 12 01 89512 150 12 -3.6
2005 12 01 89512 170 24 -2.8
2005 12 01 89512 60 4 .5
2005 12 01 89512 190 14 -.9
2005 12 02 89512 100 16 -3
2005 12 02 89512 110 18 -3.9
2005 12 02 89512 80 12 -3.2
2005 12 02 89512 70 4 -3.3
2005 12 03 89512 190 6 -5.4
2005 12 03 89512 130 16 -5.9
2005 12 03 89512 110 8 -3.2
2005 12 03 89512 70 8 -2.7
2005 12 04 89512 150 6 -5
2005 12 04 89512 10 4 -5
2005 12 04 89512 50 4 -2.5
2005 12 04 89512 50 2 -2
2005 12 05 89512 120 14 -1.8
2005 12 05 89512 110 10 -.1
